
なし	无
追撃	追击
奇跡の盾	奇迹之盾
見えざる鎧	看不见的铠甲
回避力アップ	回避力上升
即死攻撃	即死攻击
必殺の一撃	必杀的一击
炎の戦槍	炎之战枪
速射	速射
癒しの小奇跡	治愈的小奇迹
癒しの奇跡	治愈的奇迹
全員の攻撃力アップ【小】	全员的攻击力上升【小】
全員の攻撃力アップ【中】	全员的攻击力上升【中】
全員の防御力アップ【小】	全员的防御力上升【小】
全員の防御力アップ【中】	全员的防御力上升【中】
全員の防御力アップ【大】	全员的防御力上升【大】
全員の最大HPアップ【小】	全员的最大HP上升【小】
全員の最大HPアップ【中】	全员的最大HP上升【中】
出撃コストアップ	出击COST上升
魔法優先	魔法优先
射撃優先	远程优先
状態異常無効	状态异常无效
聖霊との友情	与圣灵的友情
トレジャーハント【宝石】	财宝探索【宝石】
トレジャーハント【酒】	财宝探索【酒】
トレジャーハント【魔水晶】	财宝探索【魔水晶】
ゴールドゲット！	取得金币！
射程アップⅠ	射程上升Ⅰ
射程アップⅡ	射程上升Ⅱ
魔法耐性	魔法耐性
出撃コスト減少	出击COST减少
貫通攻撃	贯通攻击
居合い	拔刀术
攻撃速度アップ	攻击速度上升
ウィッチの攻撃力アップ	魔女的攻击力上升
メイジの攻撃力アップ	法师的攻击力上升
ヘビーアーマーの防御力アップ	重装兵的防御力上升
ワルキューレの攻撃力アップ	女武神的攻击力上升
サムライ、忍者の攻撃力アップ	武士、忍者的攻击力上升
山賊の攻撃力アップ	山贼的攻击力上升
モンクの攻撃力アップ	武僧的攻击力上升
アーチャーの攻撃力アップ	弓箭手的攻击力上升
サムライの防御力アップ	武士的防御力上升
パワーアタック	全力一击
狙撃	狙击
魔法の精髄・白	魔法的精髓・白
魔法の精髄・黒	魔法的精髓・黑
体力アップ	体力上升
極・非情の刃	极・无情之刃
クイックドロウ	快速拔枪
高速詠唱	高速咏唱
聖霊との友情	与圣灵的友情
豊穣の杖	丰收之杖
ソルジャーの攻撃力アップ	士兵的攻击力上升
オートリジェネ	自动回复
気まぐれ守護天使	反复无常的守护天使
地形効果減少	地形效果减少
天使の癒し	天使的治愈
海賊の攻撃力アップ	海贼的攻击力上升
攻撃力アップ	攻击力上身
オートヒール	自愈
竜族への攻撃力アップ	龙族的攻击力上升
トレジャーハント【宝石】	财宝探索【宝石】
トレジャーハント【酒】	财宝探索【酒】
トレジャーハント【魔水晶】	财宝探索【魔水晶】
魔法剣士の攻撃力アップ	魔剑的攻击力上升
影矢	影矢
全員の最大HPアップ【大】	全员的最大HP上升【大】
スナップショット	速射
前衛軍師の防御力アップ	前线军师的防御力上升
回転斬り	回旋斩
前衛軍師の最大HPアップ	前线军师的最大HP上升
飛燕の舞	飞燕之舞
魔法抵抗	魔法抵抗
騎士姫の導き	骑士公主的指导
妖精姫の祝福	妖精公主的祝福
導きの風	引导之风
戦士の舞	战士之舞
半月の覚醒	半月的觉醒
魔剣覚醒	魔剑觉醒
山賊の最大HPアップ	山贼的最大HP上升
ツインバズーカ	双重火箭筒
ラピッドシュート	高速射击
太陽の刃	太阳之刃
神剣の鞘	神剑之鞘
竜族への攻撃力アップⅡ	龙族的攻击力上升Ⅱ
癒しの炎	治愈之炎
称号特性付与	称号特性赋予
寒冷適応（攻撃力）	寒冷适应（攻击力）
寒冷適応（コスト）	寒冷适应（COST）
エナジードレイン	能量吸取
サクリファイス	牺牲
パワーシュート	全力射击
寒冷適応	寒冷适应
天使の小癒し	天使的小治愈
六文銭の赤備え	六文钱的赤备
クイックキャスト	高速魔法
打ち出の小槌	万宝槌
ホーリーエンチャント	圣光加身
物理攻撃回避	物理攻击回避
金運招来	金运招来
呪殺	咒杀
ベテランの指南	老手的教导
癒しの大奇跡	治愈的大奇迹
ミラージュダンス	迷幻舞步
ヘビーシールド	重盾
グレートシールド	大盾
魔法防壁	魔法防壁
浄化の光	净化之光
侍女の忠誠（カグヤ）	侍女的忠诚（辉夜）
全員の攻撃力アップ【大】	全员的攻击力上升【大】
狐化かし	狐骗
侍女の献身（カグヤ）	侍女的献身（辉夜）
封妖手裏剣	封妖手里剑
封妖手裏剣・真打	封妖手里剑・真打
竜巫女の祝福	龙巫女的祝福
真竜の鱗	真龙之鳞
魔力調律	魔力调律
再生の炎	再生之炎
ヘビーアーマーの攻撃力アップ	重装兵的攻击力上升
ターンアンデッド	亡灵超度
速攻の号令	速攻的号令
疾風の号令	疾风的号令
ミスリルアームズ	秘银武器
ミラクルダイエット	奇迹轻量化
非情の刃	无情之刃
導きのそよ風	引导的微风
罪滅の光	赎罪之光
妖精姫の祈り	妖精公主的祈祷
魔力供給	魔力供给
クイックドロウ【小】	快速拔枪【小】
攻撃速度アップ【小】	攻击速度上升【小】
ソルジャーの最大HPアップ	士兵的最大HP上升
撤退支援	撤退支援
防御力アップ	防御力上升
カロネード砲	大口径短炮
鎧狩り	铠狩猎
超鎧狩り	超铠狩猎
ドラゴンフォース	龙之力
トークン所持数アップ	TOKEN所持数上升
禁断の呪法	禁断的咒法
射撃指揮	射击指挥
シルバーチャージ	银充能
サプライズナイブズ	多重飞刀
魔槍覚醒	魔枪觉醒
大地の気脈	大地的气脉
トークン所持数アップ【小】	TOKEN所持数上升【小】
馬上弓術指南	马上弓术指南
ペガサスライダー攻撃アップ	天马的攻击力上升
旋風脚	旋风脚
獣王爪大旋風	兽王爪大旋风
侍女の忠誠（術士）	侍女的忠诚（术士）
侍女の献身（術士）	侍女的献身（术士）
ヒーラーの攻撃力アップ	治疗师的攻击力上升
難攻不落の要塞	难攻不落的要塞
ジュラシックパワー	侏罗纪之力
シールドブースト	护盾提升
戦意高揚	战意高昂
魔神転生	魔神转生
入滅転生波動	入灭转生波动
騎士隊長の号令	骑士队长的号令
騎士団長の号令	骑士团长的号令
看板娘の勧誘	看板娘的劝诱
小悪魔の客引き	小恶魔的拉客
侍女の忠誠（無法者）	侍女的忠诚（无法者）
侍女の献身（無法者）	侍女的献身（无法者）
虹水晶変換	虹水晶变换
ドルイドの祝福		德鲁伊的祝福
妖精の堅陣	妖精的坚阵
魔戦団長の号令	魔战团长的号令
聖典の導き	圣典的教导
大羅仙	大罗仙
心猿	心猿
九尾の狐	九尾之狐
白面金毛九尾の狐	白面金毛九尾之狐
断末魔の呪い	临终时的诅咒
ハイネクロマンシー	高位死灵术
付与範囲拡大	赋予范围扩大
スクランブルゴーレム	魔像紧急出动
コルセアの強襲	海贼强袭
スピリットブースト	战意
強化魔導鎧	强化魔导铠
完全不死	完全不死
妖怪緊縛陣	妖怪紧缚阵
妖怪緊縛陣・剛	妖怪紧缚阵・刚
聖矢の祝福	圣矢的祝福
侍女の忠誠（王子・皇帝・姫）	侍女的忠诚（王子・皇帝・公主）
侍女の献身（王子・皇帝・姫）	侍女的献身（王子・皇帝・公主）
デーモンキラーⅠ	恶魔杀手Ⅰ
デーモンキラーⅡ	恶魔杀手Ⅱ
帝国軍師の号令	帝国军师的号令
天使長の号令	天使长的号令
ゴールドゲットプラス	额外金币取得
未来の天才召喚士	未来的天才召唤师
出撃コスト減少	出击COST减少
時空干渉	时空干涉
身代わり	替身
スピリットブーストⅡ	战意Ⅱ
避禍予見の鏡影	避祸预见之镜影
エルフの隠れ身	妖精的隐身
火力支援指揮	火力支援指挥
闇染の刃	暗染之刃
魔獣調教Ⅰ	魔兽调教Ⅰ
魔獣調教Ⅱ	魔兽调教Ⅱ
生還の祈り	生还的祈祷
英霊の守り手	英灵的守护者
戦う機甲技師	战斗机甲技师
ヘビーバレル	重炮
エンジェル特攻	天使特攻
ウィッチガーデン	魔女庭院
一等航海士の指揮	一等航海士的指挥
防御力魔法耐性アップ【男】	防御力和魔法耐性上升【男】
純血のダークエルフ	纯血暗精灵
森と動物の守り人	森林和动物的守护者
ホークアイ	鹰眼
ゴブリンキラー	哥布林杀手
回復力アップ	回复力上升
シルバーフルチャージ	完全银充能
勝利の槍	胜利之枪
輝きの一族	光辉的一族
聖なる祈り	神圣的祈祷
常闇のダークエルフ	常暗的暗精灵
スチームタンク	蒸汽坦克
プリズムミラー	棱镜分身
ヘイスト	加速魔法
罠威力上昇	陷阱威力上升
魔戦士の誓い	魔战士的誓言
絶対防衛の決意	绝对防卫的决意
逆撃の防陣	逆击的防阵
侍魂	武士之魂
隠者の聖域	隐者的圣域
魔神転生【弱】	魔神转生【弱】
神業の手ほどき	神技的启蒙
隠者の知恵	隐者的智慧
帝国治癒士の務め	帝国治疗师的职责
ドラゴンスケイル	龙之威吓
魔界適応	魔界适应
魔界闘士	魔界斗士
大司教の威厳	大司教的威严
ゴーレムキラー	魔像杀手
スーパーメカニック	超级机修师
わがままボディ	任性的身体
百鬼夜行	百鬼夜行
魔界のベテランの指南	魔界老手的教导
闇妖精の女王	暗精灵的女王
トリックオアトリート	不给糖就捣乱
火霊使役	火灵使役
薙ぎ払い	横扫
帝国薬草術	帝国药草术
剣聖武芸指南	剑圣武艺指南
初代王家の血統	初代王家的血统
隠された神器の後継者	隐藏的神器继承者
ラッキーヒット	幸运一击
竜人支配種	龙人支配种
帝国の勇者	帝国的勇者
退魔金砕棒	退魔金碎棒
呪銃（非売品）	诅咒之枪（非卖品）
年賀の祝い袋	拜年的红包
酒呑の念珠	酒吞的念珠
迫撃の号令	迫击的号令
おみくじショット	抽签射击
天狗の印可状	天狗的认可证
霧化	雾化
霧分身	雾分身
ソードスミス	铸剑匠人
魔眼の加護	魔眼的加护
土霊使役	土灵使役
猫だまし	猫骗
魔獣化	魔兽化
幸せの記憶	幸福的记忆
龍の天祐	龙之天佑
風霊使役	风灵使役
帝国の三宝剣	帝国的三宝剑
気まぐれアタック	反复无常的进攻
白き守護霊獣	白色的守护灵兽
ブライトブリンガー	光辉使者
千鬼夜行	千鬼夜行
影の総大将	影之总大将
闇霊使役	暗灵使役
オークの血脈	奥克的血脉
オーク超覚醒	奥克超觉醒
オーク超覚醒	奥克超觉醒
ミスリルドラゴン	圣银龙
聖銀竜の加護	圣银龙的加护
武具職人【男専用】	武具职人【男专用】
祖霊の追い風	先祖的助战之风
海賊の火砲戦術	海贼的火炮战术
奇跡の男	奇迹之男
上級火霊使役	上级火灵使役
上級土霊使役	上级土灵使役
上級風霊使役	上级风灵使役
上級闇霊使役	上级暗灵使役
ジャイアントブレイカー	巨人封印者
ブーストミサイル	弹道强化
天狗倒し	天狗击倒
ゴッドブレス	神之息
魔界の守護	魔界的守护
舞巫女の守護霊	舞巫女的守护灵
ソードスミス	铸剑匠人
武具職人【男専用】	武具职人【男专用】
マルダーンフ・マルダーン	战士中的战士
芸術家の逸品	艺术家的灵魂画作
精霊の加護	精灵的加护
水霊使役	水灵使役
上級水霊使役	上级水灵使役
ヤシャスィーン	突击开始
カスタマイズ【軽量化】	定制【轻量化】
夏祭りの思い出	夏祭的回忆
肉を切らせて骨を断つ	以牙还牙、以眼还眼
夏祭りの小さな思い出	夏祭的回忆片段
サヨアビリティ
サヨ覚醒アビリティ
大艦巨砲	大舰巨炮
猫騒動	猫骚动
ファーショット	远射
