
20％の確率で攻撃後の\n硬直なしで次の攻撃を出す	20％的几率无视攻击后摇
20％の確率で敵の攻撃を\n完全に無効化する	20％的几率完全无效化敌人的攻击
25％の確率で敵の攻撃を\n完全に無効化する\n防御力が10％上昇	25％的几率完全无效化敌人的攻击\n防御力上升10％
回避の確率が5％上昇	回避上升5％
通常攻撃でごくまれに\n敵を一撃で倒すことがある	攻击时极低几率出现即死效果
20％の確率で攻撃力が\n1.9倍の強力な攻撃を出す	攻击时有20％的几率\n触发1.9倍的暴击
30％の確率で防御力、魔法\n耐性無視の攻撃を出せる	攻击时有30％的几率触发\n无视防御和魔法耐性的贯通效果
10％の確率で\n3連射して攻撃する	攻击时有10％的几率\n出现三连射
ユニットを配置した瞬間に\n全員のHPを小回復	在配置的瞬间会略微回复全员的HP
ユニットを配置した瞬間に\n全員のHPを回復	在配置的瞬间会回复会员的HP
出撃メンバーにいるだけで\n全員の攻撃力が2％上昇	只要在编队中就会生效\n全员的攻击力上升2％
出撃メンバーにいるだけで\n全員の攻撃力が5％上昇	只要在编队中就会生效\n全员的攻击力上升5％
出撃メンバーにいるだけで\n全員の防御力が2％上昇	只要在编队中就会生效\n全员的防御力上升2％
出撃メンバーにいるだけで\n全員の防御力が5％上昇	只要在编队中就会生效\n全员的防御力上升5％
出撃メンバーにいるだけで\n全員の防御力が7％上昇	只要在编队中就会生效\n全员的防御力上升7％
出撃メンバーにいるだけで\n全員のHPが3％上昇	只要在编队中就会生效\n全员的HP上升3％
出撃メンバーにいるだけで\n全員のHPが10％上昇	只要在编队中就会生效\n全员的HP上升10％
出撃メンバーにいるだけで\n初期出撃コストが+2	只要在编队中就会生效\n全员的出击COST+2
魔法を使う敵を優先的に\n狙って攻撃する\n射程+10	优先攻击使用魔法的敌人\n射程+10
飛び道具を持つ敵を優先的に\n狙って攻撃する\n攻撃力が5％上昇	优先攻击会远程攻击的敌人\n攻击力上升5％
毒、状態異常を完全に\n無効化することができる	完全不受毒、状态异常的影响
所持しているだけで聖霊のドロップ\n率が5％アップ 出撃メンバーに\nいるだけで全バンデット系クラスの\nスキルの効果時間+30％	只要持有便能增加圣灵5％的掉落率\n只要在编队中就会生效\n全山贼系的技能持续时间+30％
所持しているだけで女性好感度上昇\nアイテムのドロップ率が6％アップ\n配置中のみ、ローグ系、シーフ系\nクラスの攻撃力+10％	只要持有便能增加\n女性好感道具6％的掉落率\n仅在配置中、盗贼系、小偷系\n攻击力上升10％
所持しているだけで男性信頼度上昇\nアイテムのドロップ率が6％アップ\n出撃メンバーにいるだけで男性ユニ\nット(トークン含まず）のHP+15％	只要持有便能增加\n男性信赖道具6％的掉落率\n只要在编队中就会生效\n男性单位的HP上升15％(不包含TOKEN）
所持しているだけで魔水晶の\nドロップ率が7％アップ 出撃\nメンバーにいるだけで全遠距離系\nユニットの魔法耐性+5	只要持有便能增加魔水晶7％的掉落率\n只要在编队中就会生效\n全远程单位的魔法耐性+5
敵を倒すとまれにゴールドを\n入手することができる	击倒敌人时\n偶尔可以取得金币
射程+15	射程+15
射程+30	射程+30
魔法耐性+10	魔法耐性+10
出撃コストが-1	出击COST-1
20％の確率で防御力、魔法\n耐性無視の攻撃を出せる	攻击时有20％的几率触发\n无视防御和魔法耐性的贯通效果
攻撃発生までの時間を\n常に少し短縮する	攻击等待时间小幅短缩
攻撃発生後のスキを\n常に少し短縮する	攻击间隔小幅短缩
出撃メンバーにいるだけで\n全ウィッチ系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全魔女系的攻击力上升7％
出撃メンバーにいるだけで\n全メイジ系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全法师系的攻击力上升7％
出撃メンバーにいるだけで\n全ヘビーアーマー系クラスの\n防御力が7％上昇	只要在编队中就会生效\n全重装兵系的防御力上升7％
出撃メンバーにいるだけで\n全ワルキューレ系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全女武神系的攻击力上升7％
出撃メンバーにいるだけで\n全サムライ、忍者系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全武士、忍者系的攻击力上升7％
出撃メンバーにいるだけで\n全バンデット系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全山贼系的攻击力上升7％
出撃メンバーにいるだけで\n全モンク系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全武僧系的攻击力上升7％
出撃メンバーにいるだけで\n全アーチャー系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全弓箭手系的攻击力上升7％
出撃メンバーにいるだけで\n全サムライ系クラスの\n防御力が7％上昇	只要在编队中就会生效\n全武士系的防御力上升7％
攻撃速度が下がる代わりに\n攻撃力が上昇する	攻速降低但提高攻击力
攻撃速度が下がる代わりに\n射程が長くなる	攻速降低但提高射程
攻撃速度が下がる代わりに\n射程が長くなる	攻速降低但提高射程
攻撃速度が上昇する代わりに\n射程が短くなる	攻速上升但降低射程
HPが大きく上昇する	HP大幅上升
敵を一撃でしとめる確率が　\n大きく上昇する\n配置中ローグ系ユニットが\n死亡した場合、撤退として扱う	触发即死的几率大幅度上升\n仅在配置中、盗贼系死亡视同撤退
攻撃発生までの時間を\n常に少し短縮する	攻击等待时间小幅短缩
攻撃発生までの時間を\n常に少し短縮する	攻击等待时间小幅短缩
所持しているだけで\n聖霊のドロップ率が4％アップ	只要持有便能增加圣灵4％的掉落率
ミッションクリア時の\n報酬Ｇが％d％増加する	过图结算时的金币奖励增加％d％
出撃メンバーにいるだけで\n全ソルジャー系クラスの\n攻撃力が％d％上昇	只要在编队中就会生效\n全士兵系的攻击力上升％d％
スキル非使用時\n全員のHPが徐々に回復	技能未发动时会缓慢回复全员HP
スキル非使用時\n％d％の確率で味方への\nダメージを無効化する	技能未发动时、有％d％的几率\n让我方受到的伤害无效化
地形効果を緩和する	地形效果降低
出撃メンバーにいるだけで\n全パイレーツ系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全海贼系的攻击力上升7％
攻撃力が上昇する	攻击力上升
自身のＨＰが\n徐々に回復（常時）	自身的HP缓慢回复
竜族に対する攻撃力が\n％.1f倍になる	对龙族的攻击力增加％.1f倍
所持しているだけで\n女性好感度上昇アイテムの\nドロップ率が5％アップ	只要持有便能增加\n女性好感道具5％的掉落率
所持しているだけで\n男性信頼度上昇アイテムの\nドロップ率が5％アップ	只要持有便能增加\n男性信赖道具5％的掉落率
所持しているだけで\n魔水晶のドロップ率が6％\nアップ	只要持有便能增加魔水晶6％的掉落率
出撃メンバーにいるだけで\n全魔法剣士系クラスの\n攻撃力が7％上昇	只要在编队中就会生效\n全魔法剑士系的攻击力上升7％
20％の確率で矢を２本\n発射して攻撃する	攻击时有20％的几率\n出现二连射
出撃メンバーにいるだけで\n全員のHPが14％上昇	只要在编队中就会生效\n全员的HP上升14％
スキル中の攻撃発生までの\n時間を常に少し短縮する	技能中的攻击等待时间小幅短缩
出撃メンバーにいるだけで\n全前衛軍師系クラスの\n防御力が5％上昇	只要在编队中就会生效\n全前线军师系的防御力上升5％
一定確率で自分の周りの\n地上の敵全てを同時に攻撃する	一定几率对周身的地面敌人同时攻击
出撃メンバーにいるだけで\n全前衛軍師系クラスの\nHPが15％上昇	只要在编队中就会生效\n全前线军师系的HP上升15％
30％の確率で敵からの\n物理攻撃を回避する	30％的几率回避敌人的物理攻击
魔法耐性+5	魔法耐性+5
出撃メンバーにいるだけで\nゴールド以下のユニットの\n攻撃、防御、ＨＰを5％上昇	只要在编队中就会生效\n金稀有度以下单位的\n攻击、防御、HP上升5％
出撃メンバーにいるだけで\nエルフ(ハーフ、ダーク含)と\nドワーフの最大ＨＰ15％上昇\n攻撃力5％上昇、出撃コスト-1	只要在编队中就会生效\n妖精与矮人属性\nHP上升15％、攻击力上升5％\n出击COST-1
出撃メンバーにいるだけで\nペガサスライダー系スキルの\n効果時間が50％増加	只要在编队中就会生效\n全天马系的技能持续时间增加50％
配置中、近接系ユニットの\n出撃コスト-1	仅在配置中、近战单位的出击COST-1
攻撃力と防御力が30％上昇する	攻击力与防御力上升30％
スキル中に遠距離攻撃できる\n20％の確率で攻撃力が\n1.8倍に上昇 エンジェル系\nへの攻撃時は100％発動	技能中可以远距离攻击\n有20％的几率触发1.8倍的暴击\n敌人是天使时必定发动暴击
出撃メンバーにいるだけで\nバンデット系クラスの\nHPが15％上昇	只要在编队中就会生效\n全山贼系的HP上升15％
通常攻撃でまれに\n2連続で砲撃する	攻击时偶尔会触发二连炮击
10％の確率で攻撃力が3倍の\n攻撃を出す。スキル中は\n発動率が25％に上昇	攻击时有10％的几率触发3倍的暴击\n技能中触发率上升到25％
自身のＨＰが徐々に回復（常時）\nスキル中は回復量が3倍に上昇	自身的HP缓慢回复\n技能中的回复量上升到3倍
スキル中全員のHPを徐々に回復	技能中全员的HP缓慢回复
出撃メンバーにいるだけで\n王子の称号の種類に応じて\n王子に特殊能力が備わる	只要在编队中就会生效\n根据王子称号的种类\n赋予王子对应的特殊能力
常に攻撃力が10％上昇\n吹雪中はさらに10％上昇\n吹雪の悪影響を受けない	攻击力上升10％\n吹雪天气下再额外上升10％\n不会受到吹雪的负面效果
常に出撃コストが-1\n吹雪中はさらに-2\n吹雪の悪影響を受けない	COST-1\n吹雪天气下再额外-2\n不会受到吹雪的负面效果
攻撃毎に最大ＨＰの％d％\nＨＰが回復する	每次攻击回复最大HP的％d％
受けたダメージの半分と同じだけ\n味方のＨＰを回復する	根据受到伤害的数值，其50％转换为治疗量回复友军
吹雪の悪影響を受けない	不会受到吹雪的负面效果
出撃メンバーにいるだけで\n全近接系ユニットの\nHP、攻撃、防御が％d％上昇	只要在编队中就会生效\n全近战单位的HP、攻击、防御\n上升％d％
出撃メンバーにいるだけで\n全近接系ユニットの\n攻撃力が％d％上昇	只要在编队中就会生效\n全近战单位的攻击上升％d％
20％の確率で攻撃力1.8倍の\n攻撃を出す。アンデッド系または\nデーモン系に対しては100％発動	攻击时有20％的几率触发1.8倍的暴击\n敌人是不死系或恶魔时必定发动暴击
30％の確率で敵からの\n物理攻撃を回避する	30％的几率回避敌人的物理攻击
HPが大きく減っている敵に\n攻撃やスキルがヒットすれば\n一撃で倒すことができる	对剩余HP极少的敌人\n在技能或通常攻击命中时能一击打倒
合成継承時にクラスを問わず\n同クラスボーナスがEXPに\n加算される	合成时即使不是相同职业\n也能取得同职业经验奖励
ユニットを配置した瞬間に\n全員のHPを大回復	在配置的瞬间会大幅回复全员的HP
50％の確率で敵からの\n物理攻撃を回避する	50％的几率回避敌人的物理攻击
自身の出撃コスト+2\n防御力が25％上昇	自身的出击COST+2\n防御力上升25％
自身の出撃コスト+3\n防御力が40％上昇	自身的出击COST+3\n防御力上升40％
