
――もうすぐ帝国につくぞ。\nそろそろ降りる準備でもしておけ。	——马上就要到帝国了哟。\n差不多该准备下船了。
レオナ	蕾欧娜
ありがとうございますレオナさん。\nわざわざ迎えに来て頂いて。	谢谢你特意赶过来迎接我们，蕾欧娜小姐。
アンナ	安娜
気にするな、此度の合同演習の話を持ち出したのは\n我々だ。魔物達との戦いは激化の一途をたどっている、\n今は人間同士協力し合わねばならんからな。	别太在意，毕竟这次的合作演习\n是我们这边提起来的。如今和魔物们的战斗愈演愈烈\n，我们人类必须携起手来。
こちらとしても嬉しい申し出です。\n帝国の方々とより強固な連携を築く絶好の機会、\n良き演習となるよう我々も尽力致しましょう。	我方也感到十分荣幸。\n这是和帝国方构建坚实合作的绝佳机会，\n我方会尽全力配合好本次演习。
あぁ、よろしく頼む。	恩，请多多指教。
……しかし、いつ見ても\n帝国の飛空船とは凄いものですね。\nこれほどの大きさのものが空を飛ぶだなんて。	……说起来，帝国的飞空船\n不管看到多少次都感觉好厉害啊。\n这么大的东西在天上飞什么的……
本当ですね～。一隻でも王国にあれば、\nとっても助かるんですけど……。	真的呢~。王国就算只有一艘也好，也能帮上大忙啊……。
……帝国誇る技術の粋を集めた賜物だ。\nそんな目をされた所で無駄だ、\nそうやすやす他の国に渡す訳にはいかんさ。	……就算你这么看着我也没用。\n这是帝国引以为傲的技术之结晶，\n不可能简单的就交给别的国家的。
うぅ～。残念です……。	呜呜~。真遗憾……
それに、ただ飛空船があったところで\nそれだけではどうにもならんぞ。	而且，也别有这只是艘飞空船而已的想法。
どういうことですか？	为什么这么说呢？
整備が可能な技術者や飛空船を維持する為の費用、\nそれに飛ばすための操縦士も必要だ。\n何よりこれだけ目立つものが空を飛んでいれば――	可以整备飞空船的技师以及维护飞空船的费用，\n为了让它飞起来还要有驾驶员。\n比起那些最重要的是如此显眼的东西在天上飞的话——
――ギャギャー！	——嘎嘎—！
魔物	魔物
魔物達にとっては格好の標的という訳だ。	对魔物来说是最好的目标，就是这么一回事。
ここは私達にお任せ下さい。\n王子、戦闘のご指示をお願いします！	这里就交给我们吧。\n王子，请指挥战斗！
なんとか片付きましたね。風の乱れで、\n矢の軌道が中々予測できません……。	终于都解决掉了。风很乱，\n完全无法预测箭矢的轨道……
空での戦いは普段とは勝手が違いますね。\nしっかりとした兵の鍛錬と、練度も必要……なるほど、\n船があっても一朝一夕で使えるとはいかないようです。	在天上战斗和平时战斗完全不是一回事呢。\n好好的锻炼士兵，练度也是必要的……原来如此，\n即便有了船也不是一朝一夕就能用上的。
そういうことだ。飛空船を使いたければ、\nまずは自国で、しっかりと環境を整える事だな。	就是这样。如果想要用飞空船的话，\n得先让本国拥有能使用飞空船的环境。
はい。今後の課題とさせていただきます。	恩。我会把它作为未来的课题的。
……あぁ！　見えましたよ、王子。白の帝国です！	……啊啊！王子，看到了看到了。是白之帝国！
どうやらついたようだな。\n滞在中は案内のものをつけよう、\n演習まで帝国の中でも見て回ると良い。	看起来已经到了啊。\n你们停留期间会给你们一个向导，\n到演习之前随便的逛一逛帝国吧。
お気遣いありがとうございます、レオナさん。	劳您费心了，蕾欧娜小姐。
王子、帝国の皆さんの暮らしを知る良い機会です。\n折角ですので、是非色々と見て回りましょう。	王子，这是了解帝国同胞们生活起居的良好机会。\n机会难得，一定要到处看看。
おーっしおめーら、着陸態勢に入るぞ！\n少し揺れっから気を付けときな！	好了各位，要进入着陆姿态咯！\n注意会有些许摇晃！
ようこそ王子、白の帝国へ。	王子，欢迎来到白之帝国。
あなたは……確か以前、\n魔界武王決定戦でお見掛けした……。	你是……之前好像是\n在魔界武王决定战上看见过你……。
貴様が人の出迎えとは珍しいなメフィスト。\n一体どういう風の吹き回しだ？	你能出来接人真是少见啊，梅菲斯特。\n到底吹了什么风？
客人を出迎えるのは人の礼儀なのだろう。\nそれに倣っただけに過ぎない……というのは建前だ。	迎接客人是人的礼仪吧。\n不过是稍微模仿一下……之类的只是借口啦。
