
なし	无
攻撃力強化Ⅰ	攻击力强化Ⅰ
攻撃力強化Ⅱ	攻击力强化Ⅱ
攻撃力強化Ⅲ	攻击力强化Ⅲ
攻撃力強化Ⅳ	攻击力强化Ⅳ
攻撃力強化Ⅴ	攻击力强化Ⅴ
回復力強化Ⅰ	回复力强化Ⅰ
回復力強化Ⅱ	回复力强化Ⅱ
回復力強化Ⅲ	回复力强化Ⅲ
回復力強化Ⅳ	回复力强化Ⅳ
回復力強化Ⅴ	回复力强化Ⅴ
捨て身Ⅰ	舍身攻击Ⅰ
捨て身Ⅱ	舍身攻击Ⅱ
捨て身Ⅲ	舍身攻击Ⅲ
捨て身Ⅳ	舍身攻击Ⅳ
捨て身Ⅴ	舍身攻击Ⅴ
防御力強化Ⅰ	防御力强化Ⅰ
防御力強化Ⅱ	防御力强化Ⅱ
防御力強化Ⅲ	防御力强化Ⅲ
防御力強化Ⅳ	防御力强化Ⅳ
防御力強化Ⅴ	防御力强化Ⅴ
射程強化Ⅰ	射程强化Ⅰ
射程強化Ⅱ	射程强化Ⅱ
射程強化Ⅲ	射程强化Ⅲ
射程強化Ⅳ	射程强化Ⅳ
射程強化Ⅴ	射程强化Ⅴ
暗殺Ⅰ	暗杀Ⅰ
暗殺Ⅱ	暗杀Ⅱ
暗殺Ⅲ	暗杀Ⅲ
暗殺Ⅳ	暗杀Ⅳ
暗殺Ⅴ	暗杀Ⅴ
ダブルショット	二连矢
トリプルショット	三连矢
クアドラショット	四重箭
範囲攻撃Ⅰ	范围攻击Ⅰ
範囲攻撃Ⅱ	范围攻击Ⅱ
範囲攻撃Ⅲ	范围攻击Ⅲ
範囲攻撃Ⅳ	范围攻击Ⅳ
範囲攻撃Ⅴ	范围攻击Ⅴ
援軍要請Ⅰ	请求增援Ⅰ
援軍要請Ⅱ	请求增援Ⅱ
援軍要請Ⅲ	请求增援Ⅲ
援軍要請Ⅳ	请求增援Ⅳ
援軍要請Ⅴ	请求增援Ⅴ
回復Ⅰ	回复Ⅰ
回復Ⅱ	回复Ⅱ
回復Ⅲ	回复Ⅲ
回復Ⅳ	回复Ⅳ
回復Ⅴ	回复Ⅴ
ブレスウェポンⅠ	武器祝福Ⅰ
ブレスウェポンⅡ	武器祝福Ⅱ
プロテクションⅠ	神圣壁障Ⅰ
プロテクションⅡ	神圣壁障Ⅱ
魔剣アロンダイト	魔剑・无毁的湖光
魔剣フラガラッハ	魔剑・逆光剑
神剣エクスカリバー	神剑・誓约胜利之剑
宝剣ガラティン	宝剑・轮转胜利之剑
EXPブースト	EXP提升
スキルブースト	技能提升
士気高揚	士气高昂
聖霊の護り	圣灵之守护
心眼	心眼
魔弾Ⅰ	魔弹Ⅰ
魔弾Ⅱ	魔弹Ⅱ
クイックショットⅠ	疾风射击Ⅰ
クイックショットⅡ	疾风射击Ⅱ
忍術Ⅰ	忍术Ⅰ
忍術Ⅱ	忍术Ⅱ
忍術Ⅲ	忍术Ⅲ
忍術Ⅳ	忍术Ⅳ
聖なる覚醒	圣力觉醒
破魔の炎	破魔之炎
聖剣アスカロン	圣剑・刚力屠戮之剑
コストブースト	COST提升
マジックバリア	魔力壁障
村正	村正
魔剣ティルフィング	魔剑・斩裂破灭之剑
神剣ティルフィング	神剑・斩裂破灭之剑
ペガサスウイング	天马振翼
癒しの祈り	治愈祈祷
暗黒オーラ	暗黑波动
エクセレントアロー	精准射击
聖剣オートクレール	圣剑・疾闪之流光
ヒールマジック	治疗魔法
星の杖	星之杖
気功術	气功术
烈火の陣	烈火之阵
鉄壁の陣	铁壁之阵
破邪封印の結界	破邪封印结界
魔法剣	魔法剑
ラッシュ！	冲刺连打!	
不死鳥の護り	不死鸟的加护
マジックエンハンス	魔力增幅
イフリート	召唤・伊芙利特
アウェイク	觉醒之力
呪われた血脈	被诅咒的血脉
幻惑の秘術	幻惑之秘术
癒しの祈り・速	治愈祈祷・速
神魔封印解除	神魔封印解除
リトルウイング	初生之翼
バラージショット	弹幕射击
ソードエンハンス	剑刃附魔
エリアヒール	范围治疗
モードチェンジ	模式切换
ソウルステップ	焕灵之舞
拡散弾	扩散弹
射撃体勢	射击姿态
フェニックス	召唤・菲尼克斯
見切り	看破
クイックヒール	快速治疗
ドラゴンスレイヤー	龙破斩
